tf,rho,p,fdr
ZNF750,0.145795358213455,2.09871372253314e-08,6.31823289099451e-07
ZNF589,0.144224304554539,2.97954622856795e-08,8.740002270466e-07
GTF2B,0.144042268104571,3.10227238275955e-08,8.87249901469231e-07
TEAD3,0.143787254620706,3.28246881813218e-08,9.15888860473956e-07
BCL6B,0.143182262128662,3.75147601130514e-08,1.02183060879359e-06
GSX1,0.142430958866193,4.42482180159949e-08,1.17720840489065e-06
ZNF174,-0.142143333760726,4.71242475865201e-08,1.22523043724952e-06
SMAD3,0.141584207630548,5.32418489520609e-08,1.35352611558128e-06
ZFHX3,0.141256953212415,5.71720454249229e-08,1.42184391230678e-06
HEYL,0.141007795469653,6.03511957945205e-08,1.46897378699854e-06
ZNF561,-0.140421266535167,6.85252032414305e-08,1.63318401058743e-06
MYOG,0.139935476791619,7.609731336075e-08,1.77663931601424e-06
PRDM8,0.138921607483534,9.45958522003473e-08,2.16435309834395e-06
ARNTL2,0.138443467373325,1.04762572672328e-07,2.34996829680674e-06
MAFF,0.137467598238859,1.28892266886579e-07,2.80854466330298e-06
ZNF717,-0.137422944040053,1.30116142618057e-07,2.80854466330298e-06
MBD3,0.136701125617769,1.51528863190519e-07,3.21016702759174e-06
ZFP64,-0.135836627328204,1.81673143240344e-07,3.75605948385572e-06
BNC2,0.135779346066904,1.83863051657273e-07,3.75605948385572e-06
THAP3,-0.135192938544139,2.07799199881651e-07,4.16536048623743e-06
ZKSCAN5,-0.135115403283239,2.11180863812737e-07,4.16536048623743e-06
ZNF443,-0.134725455109199,2.29009814798049e-07,4.44046149371133e-06
OSR2,0.134465978647994,2.41669293492643e-07,4.60782786259305e-06
TSHZ3,0.134255405250392,2.5243678554381e-07,4.68499769795422e-06
GCM1,0.134227324020809,2.5390721789612e-07,4.68499769795422e-06
TGIF1,0.133769720360325,2.79066159160999e-07,5.06748708063782e-06
TERF1,0.133560511526423,2.91354035400903e-07,5.20795338279115e-06
ZNF138,-0.133439948252264,2.9867067161207e-07,5.25660382037243e-06
YBX3,0.132597332152406,3.54985983456826e-07,6.15309037991832e-06
THAP9,-0.132305144593269,3.76805468215462e-07,6.43381277072371e-06
HLF,0.132206130173486,3.84488596721267e-07,6.46845521542838e-06
ZNF512,-0.132111080438245,3.92006016418429e-07,6.49934612728525e-06
MEIS3,0.131966657752955,4.03700159374497e-07,6.59761403320607e-06
ZNF682,-0.131653735264558,4.30202740532142e-07,6.93171739674325e-06
EGR1,0.131263192707996,4.65637599292785e-07,7.39846407765203e-06
PRRX2,0.130550128867132,5.37719382559897e-07,8.42672566641812e-06
AR,0.129758322525334,6.30347714136529e-07,9.74483493205661e-06
HIVEP2,0.129645037807779,6.44796138577827e-07,9.83529043377378e-06
NFIX,0.129381480383852,6.79654723570235e-07,1.02305921547941e-05
HAND2,0.129285738787895,6.92761330941835e-07,1.02924540597073e-05
ZNF530,-0.129218247786723,7.02146395314107e-07,1.02981471312736e-05
HIVEP1,0.128811713711063,7.61319747368862e-07,1.10246808986073e-05
ZNF626,-0.128712460939142,7.76479414060291e-07,1.11036556210622e-05
MSX1,0.128627454749525,7.89693639330878e-07,1.1153203992525e-05
SP1,0.127839860872403,9.22864746323624e-07,1.28750886560272e-05
AHR,0.127534319074826,9.80135305738348e-07,1.32764132821516e-05
PRDM2,0.127534207963436,9.80156741149368e-07,1.32764132821516e-05
BATF2,-0.127501703742815,9.86446791068958e-07,1.32764132821516e-05
ZSCAN26,-0.127345467687918,1.01722643208702e-06,1.35314771896227e-05
FIZ1,-0.12722262215386,1.04207433408672e-06,1.37026785999449e-05
ZSCAN16,-0.126401636697077,1.22375534691955e-06,1.59088195099542e-05
