tf,EC,FC,HomC,HTC,preHTC,ProC,RegC
ARID5B,0.208568095959329,0.0952262450270461,0.229965737137002,0.137986637246465,0.0173856338950906,0.256007634968576,0.098161565305696
ARNT,0.183376357240067,-0.0555998398383721,0.176180741252944,0.247363167937541,0.122475242042857,0.194010614484347,0.0658882743147635
ARNT2,0.226754430245285,-0.0754642393386377,0.153606757533567,0.0632324600634371,0.184259242230141,0.2445444467339,0.0771389235645906
ARNTL,0.0646517451691009,0.175605387334822,0.139212705977193,0.0541282864105383,-0.00386439526052036,0.0884710202889229,-0.0106468877000227
ARNTL2,0.156190199434477,0.0517088749878046,0.0618230190705306,0.18656631517741,0.124781201056989,0.11029899461017,0.11072875015718
ARX,0.0347876997615856,0.00911304925527646,0.0197044348360444,0.0733843362398838,-0.0980888355603476,0.182266408955537,0.0140150944940703
ASCL1,0.101593346575168,0.18809743238138,0.136954112582295,0.113022415047445,0.103519469000905,0.117358014103583,0.0919646238431204
ASCL2,0.0462643327504913,-0.00665559777070753,-0.0175474183927688,0.057433968510698,0.10375596511464,0.100209799074579,-0.180454823582505
ATF1,0.0682504523373245,0.0837581380990578,-0.00931968531135478,0.174048076404674,0.0910924515606068,0.033040505689704,-0.0210841359730299
ATF2,0.0944154486457137,0.156764925953127,-0.00426175063203962,0.0296096388479695,0.0949514829917434,0.0645901236994116,0.0924789392373983
ATF3,-0.233344470339865,-0.092154430671335,-0.189696450933524,-0.0687359089514989,-0.165602380771117,-0.0679303574450328,-0.0259170235638252
ATF4,0.050550845413644,0.115909795022168,0.0925470593789046,-0.0851137874805232,-0.0963138956552001,0.0672979218644971,0.11767200797993
ATF5,-0.0580167581978108,0.175605387334822,-0.0451853119062624,0.0455359214616715,0.173668117301624,-0.153495723446852,0.119293219548849
ATF6,0.0453819545919063,0.0945094883440469,-0.0686675130754397,0.0361306838652244,0.0993034991053263,0.17437108434148,-0.0125923415827257
ATF6B,-0.0424939206278156,0.0776145093876355,-0.147613717387846,0.154665579719038,0.180443121434074,-0.0505361789492945,-0.0403234449883242
ATF7,0.101072711919935,0.240625457864041,0.142194288263051,0.222946882115779,0.210672200977978,0.200871484518275,-0.023560676404172
ATOH1,-0.0165351279731082,-0.127275508138299,0.0524510515046643,-0.0775149335453656,-0.0639290443199068,0.0537979449222843,-0.130118999559925
ATOH8,0.0824432172004446,-0.0491490296913787,0.0874980873717914,0.157019899757585,0.151410175842733,0.204296932798286,0.0887697189754056
BACH1,-0.0409168372344555,0.110073347746317,-0.137276768781566,0.103936305231159,0.182723724163848,0.0570729110813242,0.00718364436572808
BACH2,0.06592386006127,0.0442341267222408,0.0669885058162695,0.109782967014866,-0.0278665565108161,0.0878905054401845,0.0120277127259642
BARHL1,-0.0258144895242149,-0.0154614655904129,0.052917110459167,0.0931220883789064,0.0203810887954536,0.0627718714053716,0.0623831030950659
BARHL2,0.0645297183415397,-0.127070720514585,0.0391355081699285,0.0222275509521666,0.141106747217522,0.101201279715679,-0.0675765705003276
