donor,predicted_state,gene,mean_log_expression,z
116,HTC,LRRC38,0,-0.378241867862281
116,HTC,WNT16,0.00170130020616386,-0.50545475781883
116,HTC,KRTAP2-3,0,-0.218217890235992
116,HTC,TAC1,0.00557910858439758,-0.919497840975576
116,HTC,GCSAM,0,-0.218217890235992
116,HTC,DCLK1,0,-0.380257837180033
116,HTC,TCN1,0,0
116,HTC,RETN,0,0
116,HTC,PGLYRP1,0,0
116,HTC,PADI4,0,0
116,HTC,MS4A3,0,0
116,HTC,MNDA,0,-0.23862544344358
116,HTC,RNASE6,0.00026760093549117,-0.219262406797752
116,HTC,SPI1,0.0032650860507462,-0.294561318359951
116,HTC,CLDN10,0,-0.332169031798302
116,HTC,LY6D,0.00243698784119809,-0.519713054827651
116,HTC,TNFAIP6,0.0491685174008713,-0.475596948104742
116,HTC,FAM159B,0.0011327040594898,-0.458628737617886
116,HTC,PRG4,0.174462553800688,-0.898077987866005
116,HTC,F5,0.00995295469173954,-0.7576170424292
116,HTC,SOX11,0.000287463511780171,-0.471974573878093
